,aklo,epoodle,e-tie,gl!tch,daniel,freezus,tito jojo,tazio,k8a,just jason,fitzy,cannagar,danilo calamari,luu,abe,bonn,pgh fahey,da gobbler,tranimal,snoo,bambz,bigbuffalo,hatsune mitski,willy p,jango uu,kdog,wrap,kingnut,mudjam,moburu
aklo,0 - 0,4 - 0,2 - 0,6 - 0,3 - 0,3 - 0,1 - 0,5 - 0,3 - 0,2 - 0,0 - 0,0 - 0,0 - 0,4 - 0,0 - 0,0 - 0,0 - 0,1 - 0,0 - 0,1 - 0,0 - 0,1 - 0,0 - 0,1 - 0,1 - 0,1 - 0,0 - 0,2 - 0,0 - 0,1 - 0
epoodle,0 - 4,0 - 0,5 - 1,1 - 1,0 - 0,2 - 2,1 - 1,2 - 0,2 - 0,0 - 0,1 - 0,0 - 0,0 - 0,1 - 0,0 - 0,2 - 0,0 - 0,0 - 0,1 - 0,0 - 0,1 - 0,1 - 0,0 - 0,0 - 0,1 - 0,1 - 0,0 - 0,0 - 0,0 - 0,0 - 0
e-tie,0 - 2,1 - 5,0 - 0,5 - 1,0 - 1,5 - 0,2 - 0,1 - 0,3 - 1,0 - 1,0 - 0,0 - 0,0 - 1,2 - 0,0 - 1,0 - 0,1 - 0,2 - 0,0 - 0,0 - 0,1 - 0,1 - 0,0 - 0,0 - 0,0 - 0,0 - 0,1 - 0,0 - 0,1 - 0,1 - 0
gl!tch,0 - 6,1 - 1,1 - 5,0 - 0,8 - 3,4 - 6,2 - 0,3 - 3,3 - 2,3 - 0,3 - 0,1 - 0,4 - 1,5 - 0,4 - 0,3 - 2,2 - 0,3 - 0,2 - 0,1 - 0,1 - 0,2 - 0,1 - 1,1 - 0,0 - 0,1 - 0,2 - 0,3 - 0,1 - 0,1 - 0
daniel,0 - 3,0 - 0,1 - 0,3 - 8,0 - 0,2 - 0,0 - 0,2 - 2,2 - 1,0 - 1,0 - 1,1 - 0,3 - 0,1 - 0,1 - 0,4 - 2,3 - 0,3 - 0,0 - 0,1 - 0,0 - 0,0 - 0,1 - 0,1 - 0,2 - 0,0 - 0,0 - 0,0 - 0,0 - 0,1 - 0
freezus,0 - 3,2 - 2,0 - 5,6 - 4,0 - 2,0 - 0,2 - 0,1 - 1,5 - 3,1 - 1,1 - 1,2 - 0,1 - 0,4 - 0,3 - 0,0 - 0,0 - 0,2 - 0,2 - 0,1 - 0,1 - 0,2 - 0,1 - 0,1 - 0,1 - 1,1 - 0,1 - 0,1 - 0,0 - 0,0 - 0
tito jojo,0 - 1,1 - 1,0 - 2,0 - 2,0 - 0,0 - 2,0 - 0,1 - 0,1 - 1,1 - 0,0 - 0,0 - 0,0 - 0,2 - 0,0 - 0,0 - 1,1 - 0,1 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,2 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0
tazio,0 - 5,0 - 2,0 - 1,3 - 3,2 - 2,1 - 1,0 - 1,0 - 0,2 - 5,1 - 0,1 - 0,1 - 0,1 - 0,0 - 1,2 - 0,0 - 1,1 - 1,2 - 0,0 - 0,0 - 0,2 - 0,1 - 0,0 - 0,2 - 0,4 - 0,1 - 0,0 - 0,3 - 0,1 - 0,1 - 0
k8a,0 - 3,0 - 2,1 - 3,2 - 3,1 - 2,3 - 5,1 - 1,5 - 2,0 - 0,0 - 1,0 - 1,0 - 2,1 - 0,3 - 0,1 - 0,1 - 0,0 - 1,2 - 0,1 - 0,1 - 0,1 - 0,1 - 0,0 - 0,0 - 0,1 - 0,2 - 0,0 - 0,3 - 0,2 - 0,3 - 0
just jason,0 - 2,0 - 0,1 - 0,0 - 3,1 - 0,1 - 1,0 - 1,0 - 1,1 - 0,0 - 0,0 - 1,0 - 0,1 - 0,2 - 0,1 - 0,1 - 0,0 - 0,1 - 0,0 - 0,0 - 0,0 - 0,2 - 2,0 - 0,0 - 0,2 - 0,1 - 0,0 - 0,0 - 0,0 - 0,0 - 0
fitzy,0 - 0,0 - 1,0 - 0,0 - 3,1 - 0,1 - 1,0 - 0,0 - 1,1 - 0,1 - 0,0 - 0,0 - 0,0 - 1,0 - 1,0 - 1,0 - 0,0 - 0,1 - 0,2 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,2 - 0,1 - 0,0 - 0,1 - 0,0 - 0,0 - 0
cannagar,0 - 0,0 - 0,0 - 0,0 - 1,0 - 1,0 - 2,0 - 0,0 - 1,2 - 0,0 - 0,0 - 0,0 - 0,0 - 1,1 - 0,1 - 0,0 - 0,1 - 1,2 - 0,1 - 0,0 - 0,0 - 1,0 - 0,1 - 0,0 - 0,0 - 0,1 - 0,0 - 0,1 - 0,0 - 0,0 - 0
danilo calamari,0 - 0,0 - 0,1 - 0,1 - 4,0 - 3,0 - 1,0 - 0,0 - 1,0 - 1,0 - 1,1 - 0,1 - 0,0 - 0,2 - 1,0 - 0,0 - 2,1 - 0,1 - 2,0 - 0,2 - 0,1 - 0,1 - 0,0 - 0,0 - 0,1 - 0,1 - 0,1 - 0,1 - 0,1 - 0,0 - 0
luu,0 - 4,0 - 1,0 - 2,0 - 5,0 - 1,0 - 4,0 - 2,1 - 0,0 - 3,0 - 2,1 - 0,0 - 1,1 - 2,0 - 0,2 - 0,0 - 0,0 - 0,4 - 1,0 - 0,0 - 0,0 - 0,0 - 2,1 - 1,0 - 0,5 - 2,1 - 1,1 - 0,1 - 0,2 - 0,2 - 0
abe,0 - 0,0 - 0,1 - 0,0 - 4,0 - 1,0 - 3,0 - 0,0 - 2,0 - 1,0 - 1,1 - 0,0 - 1,0 - 0,0 - 2,0 - 0,1 - 2,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,2 - 0,3 - 2,3 - 0,2 - 1,1 - 0,0 - 0
bonn,0 - 0,0 - 2,0 - 0,2 - 3,2 - 4,0 - 0,1 - 0,1 - 0,0 - 1,0 - 1,0 - 0,0 - 0,2 - 0,0 - 0,2 - 1,0 - 0,2 - 0,0 - 0,0 - 0,1 - 0,0 - 0,1 - 0,0 - 0,0 - 0,2 - 0,0 - 0,0 - 0,1 - 0,0 - 1,0 - 0
pgh fahey,0 - 0,0 - 0,0 - 1,0 - 2,0 - 3,0 - 0,0 - 1,1 - 1,1 - 0,0 - 0,0 - 0,1 - 1,0 - 1,0 - 0,0 - 0,0 - 2,0 - 0,0 - 1,1 - 0,0 - 0,0 - 0,0 - 0,1 - 0,0 - 0,0 - 0,0 - 1,0 - 0,1 - 0,0 - 0,0 - 0
da gobbler,0 - 1,0 - 0,0 - 2,0 - 3,0 - 3,0 - 2,0 - 1,0 - 2,0 - 2,0 - 1,0 - 1,0 - 2,2 - 1,1 - 4,0 - 0,0 - 0,1 - 0,0 - 0,0 - 1,1 - 0,0 - 0,0 - 1,1 - 0,0 - 0,0 - 0,1 - 2,1 - 1,2 - 1,0 - 0,4 - 1
tranimal,0 - 0,0 - 1,0 - 0,0 - 2,0 - 0,0 - 2,0 - 0,0 - 0,0 - 1,0 - 0,0 - 2,0 - 1,0 - 0,0 - 0,0 - 0,0 - 0,0 - 1,1 - 0,0 - 0,1 - 0,1 - 0,1 - 0,0 - 1,0 - 0,0 - 0,1 - 0,0 - 0,0 - 0,0 - 0,0 - 0
snoo,0 - 1,0 - 0,0 - 0,0 - 1,0 - 1,0 - 1,0 - 0,0 - 0,0 - 1,0 - 0,0 - 0,0 - 0,0 - 2,0 - 0,0 - 0,0 - 1,0 - 0,0 - 1,0 - 1,0 - 0,0 - 0,0 - 0,1 - 1,0 - 0,0 - 0,1 - 0,0 - 0,1 - 0,0 - 0,0 - 0
bambz,0 - 0,0 - 1,0 - 1,0 - 1,0 - 0,0 - 1,0 - 0,0 - 2,0 - 1,0 - 0,0 - 0,1 - 0,0 - 1,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 1,0 - 0,0 - 0,0 - 0,0 - 0,1 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0
bigbuffalo,0 - 1,0 - 1,0 - 1,0 - 2,0 - 0,0 - 2,0 - 0,0 - 1,0 - 1,2 - 2,0 - 0,0 - 0,0 - 1,2 - 0,0 - 0,0 - 1,0 - 0,1 - 0,0 - 1,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,2 - 0,1 - 0,1 - 1,0 - 0,0 - 0
hatsune mitski,0 - 0,0 - 0,0 - 0,1 - 1,0 - 1,0 - 1,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 1,0 - 0,1 - 1,0 - 0,0 - 0,0 - 1,0 - 1,1 - 0,1 - 1,0 - 0,0 - 0,0 - 0,0 - 0,0 - 1,0 - 0,1 - 0,0 - 0,0 - 0,0 - 1
willy p,0 - 1,0 - 0,0 - 0,0 - 1,0 - 1,0 - 1,0 - 2,0 - 2,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 1,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,1 - 0,0 - 1,0 - 0,0 - 0
jango uu,0 - 1,0 - 1,0 - 0,0 - 0,0 - 2,1 - 1,0 - 0,0 - 4,0 - 1,0 - 2,0 - 2,0 - 0,0 - 1,2 - 5,0 - 2,0 - 2,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,1 - 0,0 - 0,0 - 0,1 - 1,3 - 0,2 - 1,0 - 0,0 - 0
kdog,0 - 1,0 - 1,0 - 0,0 - 1,0 - 0,0 - 1,0 - 0,0 - 1,0 - 2,0 - 1,0 - 1,0 - 1,0 - 1,1 - 1,2 - 3,0 - 0,1 - 0,2 - 1,0 - 1,0 - 1,0 - 0,0 - 2,0 - 0,0 - 0,1 - 1,0 - 0,1 - 0,1 - 0,0 - 0,0 - 1
wrap,0 - 0,0 - 0,0 - 1,0 - 2,0 - 0,0 - 1,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 1,0 - 1,0 - 3,0 - 0,0 - 0,1 - 1,0 - 0,0 - 0,0 - 0,0 - 1,0 - 1,0 - 1,0 - 3,0 - 1,0 - 0,2 - 0,1 - 0,0 - 0
kingnut,0 - 2,0 - 0,0 - 0,0 - 3,0 - 0,0 - 1,0 - 0,0 - 3,0 - 3,0 - 0,0 - 1,0 - 1,0 - 1,0 - 1,1 - 2,0 - 1,0 - 1,1 - 2,0 - 0,0 - 1,0 - 0,1 - 1,0 - 0,1 - 0,1 - 2,0 - 1,0 - 2,0 - 0,0 - 0,1 - 0
mudjam,0 - 0,0 - 0,0 - 1,0 - 1,0 - 0,0 - 0,0 - 0,0 - 1,0 - 2,0 - 0,0 - 0,0 - 0,0 - 1,0 - 2,0 - 1,1 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 1,0 - 0,0 - 0,0 - 0
moburu,0 - 1,0 - 0,0 - 1,0 - 1,0 - 1,0 - 0,0 - 0,0 - 1,0 - 3,0 - 0,0 - 0,0 - 0,0 - 0,0 - 2,0 - 0,0 - 0,0 - 0,1 - 4,0 - 0,0 - 0,0 - 0,0 - 0,1 - 0,0 - 0,0 - 0,1 - 0,0 - 0,0 - 1,0 - 0,0 - 0